iter	Passed	Remaining
468	688	779
469	689	777
470	690	775
471	691	773
472	692	771
473	692	768
474	693	766
475	694	764
476	695	762
477	696	760
478	697	758
479	698	756
480	699	754
481	700	752
482	700	750
483	701	748
484	702	746
485	703	744
486	704	741
487	705	739
488	706	737
489	707	735
490	708	733
491	709	732
492	709	730
493	710	728
494	711	726
495	712	724
496	713	722
497	714	720
498	715	718
499	716	716
500	716	714
501	717	712
502	718	710
503	719	708
504	720	706
505	721	704
506	722	702
507	723	700
508	724	698
509	725	696
510	726	694
511	726	692
512	727	690
513	728	689
514	729	687
515	730	685
516	731	683
517	732	681
518	733	679
519	734	677
520	735	675
521	735	673
522	736	671
523	737	670
524	738	668
525	739	666
526	740	664
527	741	662
528	742	660
529	743	659
530	744	657
531	744	655
532	745	653
533	746	651
534	747	649
535	748	647
536	749	646
537	750	644
538	751	642
539	752	640
540	753	639
541	754	637
542	755	635
543	756	633
544	756	631
545	757	630
546	758	628
547	759	626
548	760	624
549	761	622
550	762	621
551	763	619
552	764	617
553	765	615
554	765	614
555	766	612
556	767	610
557	768	609
558	769	607
559	770	605
560	771	603
561	772	601
562	773	600
563	774	598
564	774	596
565	775	594
566	776	593
567	777	591
568	778	589
569	779	587
570	780	586
571	781	584
572	782	583
573	783	581
574	784	580
575	785	578
576	786	576
577	787	574
578	788	573
579	789	571
580	790	569
581	790	567
582	791	566
583	792	564
584	793	562
585	794	561
586	795	559
587	796	557
588	797	556
589	798	554
590	799	552
591	799	551
592	800	549
593	801	547
594	802	546
595	803	544
596	804	542
597	805	541
598	806	539
599	806	537
600	807	536
601	808	534
602	809	533
603	810	531
604	811	529
605	812	528
606	813	526
607	814	525
608	815	523
609	816	521
610	817	520
611	817	518
612	818	516
613	819	515
614	820	513
615	821	512
616	822	510
617	823	508
618	824	507
619	824	505
620	825	504
621	826	502
622	827	500
623	828	499
624	829	497
625	830	496
626	831	494
627	832	492
628	832	491
629	833	489
630	834	488
631	835	486
632	836	484
633	837	483
634	838	481
635	839	480
636	840	478
637	840	477
638	841	475
639	842	474
640	843	472
641	844	470
642	845	469
643	846	467
644	847	466
645	847	464
646	848	463
647	849	461
648	850	459
649	851	458
650	852	456
651	853	455
652	853	453
653	854	452
654	855	450
655	857	449
656	858	448
657	858	446
658	859	444
659	860	443
660	861	441
661	862	440
662	863	438
663	864	437
664	865	435
665	865	434
666	866	432
667	867	431
668	868	429
669	869	428
670	870	426
671	871	425
672	872	423
673	873	422
674	874	420
675	875	419
676	876	417
677	876	416
678	877	414
679	878	413
680	879	411
681	880	410
682	881	409
683	882	407
684	883	406
685	883	404
686	884	403
687	885	401
688	886	400
689	887	398
690	888	397
691	889	396
692	890	394
693	891	393
694	892	391
695	893	390
696	894	388
697	894	387
698	895	385
699	896	384
700	897	382
701	898	381
702	899	379
703	900	378
704	901	377
705	901	375
706	902	374
707	903	372
708	904	371
709	905	369
710	906	368
711	907	367
712	908	365
713	909	364
714	910	362
715	910	361
716	911	359
717	912	358
718	913	357
719	914	355
720	915	354
721	916	353
722	918	351
723	919	350
724	919	348
725	920	347
726	921	346
727	922	344
728	923	343
729	924	341
730	925	340
731	925	339
732	926	337
733	927	336
734	928	334
735	929	333
736	930	332
737	931	330
738	932	329
739	933	328
740	934	326
741	935	325
742	936	323
743	937	322
744	938	321
745	939	319
746	939	318
747	940	316
748	941	315
749	942	314
750	943	312
751	944	311
752	945	310
753	946	308
754	947	307
755	948	306
756	949	304
757	950	303
758	951	301
759	951	300
760	952	299
761	953	297
762	954	296
763	955	295
764	956	293
765	957	292
766	958	291
767	959	289
768	960	288
769	961	287
770	962	285
771	963	284
772	963	283
773	964	281
774	965	280
775	966	279
776	967	277
777	968	276
778	969	274
779	970	273
780	971	272
781	972	270
782	972	269
783	973	268
784	974	266
785	975	265
786	976	264
787	977	263
788	978	261
789	979	260
790	980	259
791	981	257
792	982	256
793	983	255
794	984	253
795	985	252
796	985	251
797	986	249
798	987	248
799	988	247
800	989	245
801	990	244
802	991	243
803	992	241
804	993	240
805	994	239
806	995	238
807	996	236
808	997	235
809	998	234
810	999	232
811	1000	231
812	1000	230
813	1001	228
814	1002	227
815	1003	226
816	1004	225
817	1005	223
818	1006	222
819	1007	221
820	1007	219
821	1008	218
822	1009	217
823	1010	215
824	1011	214
825	1012	213
826	1013	211
827	1014	210
828	1015	209
829	1016	208
830	1017	206
831	1017	205
832	1018	204
833	1019	202
834	1020	201
835	1021	200
836	1022	199
837	1023	197
838	1024	196
839	1025	195
840	1026	194
841	1027	192
842	1028	191
843	1029	190
844	1030	188
845	1031	187
846	1031	186
847	1032	185
848	1033	183
849	1034	182
850	1035	181
851	1036	180
852	1037	178
853	1038	177
854	1039	176
855	1040	175
856	1041	173
857	1042	172
858	1043	171
859	1044	169
860	1045	168
861	1045	167
862	1046	166
863	1047	164
864	1048	163
865	1049	162
866	1051	161
867	1051	159
868	1052	158
869	1053	157
870	1054	156
871	1055	154
872	1056	153
873	1057	152
874	1058	151
875	1059	149
876	1060	148
877	1061	147
878	1062	146
879	1063	144
880	1064	143
881	1065	142
882	1066	141
883	1067	140
884	1067	138
885	1068	137
886	1069	136
887	1070	135
888	1071	133
889	1072	132
890	1073	131
891	1074	130
892	1075	128
893	1076	127
894	1077	126
895	1078	125
896	1079	123
897	1080	122
898	1081	121
899	1082	120
900	1082	118
901	1083	117
902	1084	116
903	1085	115
904	1086	114
905	1087	112
906	1088	111
907	1089	110
908	1090	109
909	1091	107
910	1092	106
911	1093	105
912	1094	104
913	1095	103
914	1096	101
915	1097	100
916	1097	99
917	1098	98
918	1099	96
919	1100	95
920	1101	94
921	1102	93
922	1103	92
923	1104	90
924	1105	89
925	1106	88
926	1107	87
927	1107	85
928	1108	84
929	1109	83
930	1110	82
931	1111	81
932	1112	79
933	1113	78
934	1114	77
935	1115	76
936	1116	75
937	1117	73
938	1118	72
939	1119	71
940	1120	70
941	1121	69
942	1122	67
943	1122	66
944	1123	65
945	1124	64
946	1126	63
947	1126	61
948	1127	60
949	1128	59
950	1129	58
951	1130	56
952	1131	55
953	1132	54
954	1133	53
955	1134	52
956	1135	51
957	1136	49
958	1137	48
959	1138	47
960	1139	46
961	1140	45
962	1141	43
963	1141	42
964	1142	41
965	1143	40
966	1144	39
967	1145	37
968	1146	36
969	1147	35
970	1149	34
971	1150	33
972	1151	31
973	1152	30
974	1153	29
975	1154	28
976	1155	27
977	1156	26
978	1156	24
979	1157	23
